Iteration;car_travel;car_wait;stageActivity_travel;stageActivity_wait
0;21;0;0;2
1;21;0;0;2
2;21;0;0;2
3;21;0;0;0
4;21;0;0;0
5;21;0;0;0
6;21;0;0;0
7;21;0;0;0
8;21;0;0;0
9;21;0;0;0
10;21;0;0;0
11;21;0;0;0
12;22;0;0;2
13;21;0;0;0
14;21;0;0;0
15;21;0;0;2
16;21;0;0;0
17;21;0;0;0
18;21;0;0;0
19;21;0;0;0
20;22;0;0;2
