iteration;BEGIN iteration;BEGIN iterationStartsListeners;END iterationStartsListeners;BEGIN replanning;END replanning;BEGIN beforeMobsimListeners;BEGIN dump all plans;END dump all plans;END beforeMobsimListeners;BEGIN prepareForMobsim;END prepareForMobsim;BEGIN mobsim;END mobsim;BEGIN afterMobsimListeners;END afterMobsimListeners;BEGIN scoring;END scoring;BEGIN iterationEndsListeners;BEGIN compare with counts;END compare with counts;END iterationEndsListeners;END iteration;;iterationStartsListeners;replanning;dump all plans;beforeMobsimListeners;prepareForMobsim;mobsim;afterMobsimListeners;scoring;compare with counts;iterationEndsListeners;iteration
16;18:57:41;18:57:41;18:57:41;18:57:41;18:57:41;18:57:41;;;18:57:41;18:57:41;18:57:41;18:57:41;18:57:44;18:57:44;18:57:44;18:57:44;18:57:44;18:57:44;;;18:57:47;18:57:47;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:03;00:00:00;00:00:00;;00:00:03;00:00:06
17;18:57:47;18:57:47;18:57:47;18:57:47;18:57:47;18:57:47;;;18:57:47;18:57:47;18:57:47;18:57:47;18:57:51;18:57:51;18:57:51;18:57:51;18:57:51;18:57:51;;;18:57:55;18:57:55;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:03;00:00:00;00:00:00;;00:00:03;00:00:07
18;18:57:55;18:57:55;18:57:55;18:57:55;18:57:55;18:57:55;;;18:57:55;18:57:55;18:57:55;18:57:55;18:57:58;18:57:58;18:57:58;18:57:58;18:57:58;18:57:58;;;18:58:02;18:58:02;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:03;00:00:00;00:00:00;;00:00:03;00:00:07
19;18:58:02;18:58:02;18:58:02;18:58:02;18:58:02;18:58:02;;;18:58:02;18:58:02;18:58:02;18:58:02;18:58:05;18:58:05;18:58:05;18:58:05;18:58:05;18:58:05;;;18:58:09;18:58:09;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:03;00:00:00;00:00:00;;00:00:03;00:00:06
20;18:58:09;18:58:09;18:58:09;18:58:09;18:58:09;18:58:09;;;18:58:09;18:58:09;18:58:09;18:58:09;18:58:12;18:58:12;18:58:12;18:58:12;18:58:12;18:58:12;18:58:12;18:58:12;18:58:15;18:58:15;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:03;00:00:00;00:00:00;00:00:00;00:00:03;00:00:06
21;18:58:15;18:58:15;18:58:15;18:58:15;18:58:15;18:58:15;;;18:58:15;18:58:15;18:58:15;18:58:15;18:58:19;18:58:19;18:58:19;18:58:19;18:58:19;18:58:19;;;18:58:24;18:58:24;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:03;00:00:00;00:00:00;;00:00:04;00:00:08
22;18:58:24;18:58:24;18:58:24;18:58:24;18:58:24;18:58:24;;;18:58:24;18:58:24;18:58:24;18:58:24;18:58:27;18:58:27;18:58:27;18:58:27;18:58:27;18:58:27;;;18:58:32;18:58:32;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:03;00:00:00;00:00:00;;00:00:04;00:00:08
23;18:58:32;18:58:32;18:58:32;18:58:32;18:58:32;18:58:32;;;18:58:32;18:58:32;18:58:32;18:58:32;18:58:35;18:58:35;18:58:35;18:58:35;18:58:35;18:58:35;;;18:58:40;18:58:40;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:03;00:00:00;00:00:00;;00:00:04;00:00:08
24;18:58:40;18:58:40;18:58:40;18:58:40;18:58:40;18:58:40;;;18:58:40;18:58:40;18:58:40;18:58:40;18:58:43;18:58:43;18:58:43;18:58:43;18:58:43;18:58:43;;;18:58:48;18:58:48;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;;00:00:04;00:00:07
25;18:58:48;18:58:48;18:58:48;18:58:48;18:58:48;18:58:48;;;18:58:48;18:58:48;18:58:48;18:58:48;18:58:51;18:58:51;18:58:51;18:58:51;18:58:51;18:58:51;;;18:58:57;18:58:57;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:03;00:00:00;00:00:00;;00:00:05;00:00:08
26;18:58:57;18:58:57;18:58:57;18:58:57;18:58:57;18:58:57;;;18:58:57;18:58:57;18:58:57;18:58:57;18:59:01;18:59:01;18:59:01;18:59:01;18:59:01;18:59:01;;;18:59:05;18:59:05;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:03;00:00:00;00:00:00;;00:00:04;00:00:08
27;18:59:05;18:59:05;18:59:05;18:59:05;18:59:05;18:59:05;;;18:59:05;18:59:05;18:59:05;18:59:05;18:59:09;18:59:09;18:59:09;18:59:09;18:59:09;18:59:09;;;18:59:14;18:59:14;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:03;00:00:00;00:00:00;;00:00:04;00:00:08
28;18:59:14;18:59:14;18:59:14;18:59:14;18:59:14;18:59:14;;;18:59:14;18:59:14;18:59:14;18:59:14;18:59:17;18:59:17;18:59:17;18:59:17;18:59:17;18:59:17;;;18:59:22;18:59:22;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:03;00:00:00;00:00:00;;00:00:04;00:00:07
29;18:59:22;18:59:22;18:59:22;18:59:22;18:59:22;18:59:22;;;18:59:22;18:59:22;18:59:22;18:59:22;18:59:25;18:59:25;18:59:25;18:59:25;18:59:25;18:59:25;;;18:59:30;18:59:30;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;;00:00:04;00:00:07
30;18:59:30;18:59:30;18:59:30;18:59:30;18:59:30;18:59:30;;;18:59:30;18:59:30;18:59:30;18:59:30;18:59:33;18:59:33;18:59:33;18:59:33;18:59:33;18:59:33;18:59:33;18:59:33;18:59:38;18:59:38;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;00:00:00;00:00:04;00:00:07
31;18:59:38;18:59:38;18:59:38;18:59:38;18:59:38;18:59:38;;;18:59:38;18:59:38;18:59:38;18:59:38;18:59:41;18:59:41;18:59:41;18:59:41;18:59:41;18:59:41;;;18:59:46;18:59:46;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:03;00:00:00;00:00:00;;00:00:04;00:00:07
32;18:59:46;18:59:46;18:59:46;18:59:46;18:59:46;18:59:46;;;18:59:46;18:59:46;18:59:46;18:59:46;18:59:49;18:59:49;18:59:49;18:59:49;18:59:49;18:59:49;;;18:59:54;18:59:54;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:03;00:00:00;00:00:00;;00:00:05;00:00:08
33;18:59:54;18:59:54;18:59:54;18:59:54;18:59:54;18:59:54;;;18:59:54;18:59:54;18:59:54;18:59:54;18:59:58;18:59:58;18:59:58;18:59:58;18:59:58;18:59:58;;;19:00:03;19:00:03;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:03;00:00:00;00:00:00;;00:00:04;00:00:08
34;19:00:03;19:00:03;19:00:03;19:00:03;19:00:03;19:00:03;;;19:00:03;19:00:03;19:00:03;19:00:03;19:00:06;19:00:06;19:00:06;19:00:06;19:00:06;19:00:06;;;19:00:11;19:00:11;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:03;00:00:00;00:00:00;;00:00:05;00:00:08
35;19:00:11;19:00:11;19:00:11;19:00:11;19:00:11;19:00:11;;;19:00:11;19:00:11;19:00:11;19:00:11;19:00:15;19:00:15;19:00:15;19:00:15;19:00:15;19:00:15;;;19:00:20;19:00:20;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:03;00:00:00;00:00:00;;00:00:05;00:00:08
36;19:00:20;19:00:20;19:00:20;19:00:20;19:00:20;19:00:20;;;19:00:20;19:00:20;19:00:20;19:00:20;19:00:23;19:00:23;19:00:23;19:00:23;19:00:23;19:00:23;;;19:00:29;19:00:29;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:03;00:00:00;00:00:00;;00:00:05;00:00:08
37;19:00:29;19:00:29;19:00:29;19:00:29;19:00:29;19:00:29;;;19:00:29;19:00:29;19:00:29;19:00:29;19:00:33;19:00:33;19:00:33;19:00:33;19:00:33;19:00:33;;;19:00:38;19:00:38;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:03;00:00:00;00:00:00;;00:00:05;00:00:09
38;19:00:38;19:00:38;19:00:38;19:00:38;19:00:38;19:00:38;;;19:00:38;19:00:38;19:00:38;19:00:38;19:00:42;19:00:42;19:00:42;19:00:42;19:00:42;19:00:42;;;19:00:47;19:00:47;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:03;00:00:00;00:00:00;;00:00:05;00:00:08
39;19:00:47;19:00:47;19:00:47;19:00:47;19:00:47;19:00:47;;;19:00:47;19:00:47;19:00:47;19:00:47;19:00:51;19:00:51;19:00:51;19:00:51;19:00:51;19:00:51;;;19:00:56;19:00:56;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:03;00:00:00;00:00:00;;00:00:05;00:00:09
40;19:00:56;19:00:56;19:00:56;19:00:56;19:00:56;19:00:56;;;19:00:56;19:00:56;19:00:56;19:00:56;19:00:59;19:00:59;19:00:59;19:00:59;19:00:59;19:00:59;19:00:59;19:00:59;19:01:05;19:01:05;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:03;00:00:00;00:00:00;00:00:00;00:00:05;00:00:08
41;19:01:05;19:01:05;19:01:05;19:01:05;19:01:05;19:01:05;;;19:01:05;19:01:05;19:01:05;19:01:05;19:01:08;19:01:08;19:01:08;19:01:08;19:01:08;19:01:08;;;19:01:14;19:01:14;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;;00:00:05;00:00:08
42;19:01:14;19:01:14;19:01:14;19:01:14;19:01:14;19:01:14;;;19:01:14;19:01:14;19:01:14;19:01:14;19:01:17;19:01:17;19:01:17;19:01:17;19:01:17;19:01:17;;;19:01:23;19:01:23;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:03;00:00:00;00:00:00;;00:00:05;00:00:09
43;19:01:23;19:01:23;19:01:23;19:01:23;19:01:23;19:01:23;;;19:01:23;19:01:23;19:01:23;19:01:23;19:01:27;19:01:27;19:01:27;19:01:27;19:01:27;19:01:27;;;19:01:33;19:01:33;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:03;00:00:00;00:00:00;;00:00:06;00:00:09
44;19:01:33;19:01:33;19:01:33;19:01:33;19:01:33;19:01:33;;;19:01:33;19:01:33;19:01:33;19:01:33;19:01:36;19:01:36;19:01:36;19:01:36;19:01:36;19:01:36;;;19:01:43;19:01:43;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;;00:00:06;00:00:09
45;19:01:43;19:01:43;19:01:43;19:01:43;19:01:43;19:01:43;;;19:01:43;19:01:43;19:01:43;19:01:43;19:01:47;19:01:47;19:01:47;19:01:47;19:01:47;19:01:47;;;19:01:54;19:01:54;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:03;00:00:00;00:00:00;;00:00:07;00:00:11
46;19:01:54;19:01:54;19:01:54;19:01:54;19:01:54;19:01:54;;;19:01:54;19:01:54;19:01:54;19:01:54;19:01:57;19:01:57;19:01:57;19:01:57;19:01:57;19:01:57;;;19:02:04;19:02:04;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;;00:00:06;00:00:09
47;19:02:04;19:02:04;19:02:04;19:02:04;19:02:04;19:02:04;;;19:02:04;19:02:04;19:02:04;19:02:04;19:02:07;19:02:07;19:02:07;19:02:07;19:02:07;19:02:07;;;19:02:14;19:02:14;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:03;00:00:00;00:00:00;;00:00:07;00:00:10
48;19:02:14;19:02:14;19:02:14;19:02:14;19:02:14;19:02:14;;;19:02:14;19:02:14;19:02:14;19:02:14;19:02:17;19:02:17;19:02:17;19:02:17;19:02:17;19:02:17;;;19:02:24;19:02:24;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;;00:00:06;00:00:09
49;19:02:24;19:02:24;19:02:24;19:02:24;19:02:24;19:02:24;;;19:02:24;19:02:24;19:02:24;19:02:24;19:02:27;19:02:27;19:02:27;19:02:27;19:02:27;19:02:27;;;19:02:34;19:02:34;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:03;00:00:00;00:00:00;;00:00:06;00:00:10
50;19:02:34;19:02:34;19:02:34;19:02:34;19:02:34;19:02:34;19:02:34;19:02:34;19:02:34;19:02:34;19:02:34;19:02:34;19:02:38;19:02:38;19:02:38;19:02:38;19:02:38;19:02:38;19:02:38;19:02:38;19:02:45;19:02:45;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:03;00:00:00;00:00:00;00:00:00;00:00:07;00:00:10
