Link;TotalConsumptionPerKm;TotalConsumption
2792;0.5791114985231969;0.003807597894517494
2791;0.6053821158556332;0.018406695944520934
2790;0.7520628985467087;0.0028573274988759104
2305;0.549585392655488;0.002195173384161139
2789;0.3681382599305056;0.0040878614421001125
1215;0.8029693324659142;0.08429014609341945
2788;0.6494834861052533;0.0033022808913180856
2303;0.4530063095062136;0.002703920802487366
2785;0.6102245718122409;0.0035715853633503784
2784;0.6332596494162203;0.003369720931081519
2783;0.6537166682697898;0.003234678159623509
2309;0.45242431019812634;0.002678689022512784
2308;0.38337318297221706;0.044030971670434085
2317;0.1545327510450929;8.760807884911955E-4
2316;0.4133231618094817;0.04565595985983116
1;0.5613378636968528;0.1761552436455872
2315;0.36274049288685234;0.00913401750681301
2;0.24226901838989412;0.003628076315315372
2798;0.3785042939314776;0.02748817608515533
3;0.12160272795613568;0.0019369927295510231
2797;0.1345376991204121;0.008615154426870096
4;0.1276251596317997;0.002393197778085053
2796;0.3178221396843487;0.0016848604655407594
5;0.1214828227658314;0.002849378480528294
6;0.12811865691979554;0.0024640795098050017
2311;0.14898998913129805;9.013069341624552E-4
2794;0.24912057447711228;0.00256645946641625
2330;0.4185900012388972;0.002983132152261585
2327;0.3610356995684284;0.010418478743110868
2325;0.12040104212897872;0.0017619168011144479
2324;0.14191014899368387;9.688455288144364E-4
810;0.5110139235721567;0.13598931035979422
4520;0.13766484975598398;0.006087461314644154
2340;0.15750196366441876;8.592628410991667E-4
2339;0.4336640125769272;0.0028303354083661354
2338;0.17606334468653295;7.661472101216244E-4
2337;0.3634265424790687;0.008611566081035945
2334;0.5159538890188347;0.0023240700442626024
3681;0.0;0.0
3682;0.7475621507344915;0.013059840509384376
3683;0.7505334828653755;0.013251763574852492
3684;0.7351914512508301;0.011965737951835516
4531;0.2633100649178137;0.002232467655418149
2353;0.41233338060688024;0.003060223989939522
3200;0.4238293810656219;0.038988585895547274
2349;0.42477776290252717;0.00293201951574762
2348;0.3834689183177405;0.028928700510706493
2106;0.15521796530138382;8.676728702663317E-4
2347;0.5377614319852926;0.002246971002553988
1499;0.5448125506661731;0.035478211872486086
2102;0.13669401139757292;0.0010373143457027675
1496;0.3737603615793535;0.01325176357485249
4521;0.12115554336358637;0.0018951082022453404
4525;0.3505103899555246;0.02076299941041198
4526;0.13320265677317855;0.008367842615756379
2109;0.1290177346862017;0.015001807202051123
3690;0.7634570098345601;0.014359186668510321
3691;0.7663243672351759;0.014570283252835096
3692;0.7497517474183425;0.013446527826231448
3693;0.7757421803235256;0.01511166060541069
4540;0.6869725770146037;3.9388036587249386E-4
4541;0.3657998993936892;4.757652503016814E-4
3695;0.8022973901943848;0.06694274092605103
4300;0.5038280423348698;0.005017442742370133
4542;0.635266694229918;3.9388036587249386E-4
3211;0.4929737314470677;0.0818382155187833
2122;0.5041505421662367;0.004903770802602998
1033;0.6084956800455694;0.009827155553515593
2364;0.48279244108056374;0.012358665986121972
2121;0.5024954131634072;0.004979356929712766
1032;0.6352461364668641;0.01179262343447307
2120;0.5406690058069539;0.06942466935628218
1031;0.6148241751446795;0.010117875516280093
1273;0.6335456099004705;0.06730649762466272
2361;0.48143044894283243;0.013992954116101993
1030;0.6316679338094372;0.01170688612266107
1272;0.5748315320608205;0.05429033336664187
2360;0.4015361091829777;0.0032425828516962577
1271;0.8594563649625947;0.07888951036074492
3208;0.5170180264342115;0.05330893528701311
3207;0.4259187996795389;0.039271888344644575
2118;0.328512719363858;0.02727940517292777
1029;0.6649755401817079;0.013845173186789746
3206;0.4473080935392864;0.03329490551667231
2117;0.35356709993985025;0.0526293738541643
1028;0.6546014123388155;0.013252725968911992
2116;0.32530181098079874;0.026709182103374675
3205;1.148341434158984;0.0808492654404248
1027;0.6391167334108057;0.012230825464009467
3204;0.5066094479964243;0.028852653316019536
1026;0.607810294332406;0.014459001173003784
2115;0.1261532845513494;0.011537281857186608
3203;0.42499005727175726;0.019635944172322287
1025;0.6553468011834458;0.013252725968911992
2355;0.36280640453491636;0.010494715587076495
3202;0.4426650711822355;0.02679761710083334
2113;0.1254488395501681;0.006723263913115725
3201;0.4308002236345474;0.030538312518736056
3685;0.7555869564558803;0.013844738228623928
4532;0.5581253324618585;4.1864670403811107E-4
3686;0.758665234575993;0.014048263347193283
3687;0.7676812007893107;0.014570283252835096
3688;0.7736075191481401;0.014892747646198792
3689;0.7588930711381418;0.014151148121367684
4538;0.5734195559681871;0.0010767194751605466
3209;0.4648617131670216;0.060464754906124796
