time	0+	0.1+	0.2+	0.3+	0.4+	0.5+	0.6+	0.7+	0.8+	0.9+
00:00	9.0	0.0	2.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0
00:05	9.0	0.0	2.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0
00:10	9.0	0.0	2.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0
00:15	9.0	0.0	2.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0
00:20	9.0	0.0	2.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0
00:25	9.0	0.0	2.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0
00:30	9.0	0.0	2.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0
00:35	9.0	0.0	2.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0
00:40	9.0	0.0	2.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0
00:45	9.0	0.0	2.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0
00:50	9.0	0.0	2.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0
00:55	9.0	0.0	2.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0
01:00	9.0	0.0	2.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0
01:05	9.0	0.0	2.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0
01:10	9.0	0.0	2.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0
01:15	9.0	0.0	2.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0
01:20	9.0	0.0	2.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0
01:25	9.0	0.0	2.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0
01:30	9.0	0.0	2.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0
01:35	9.0	0.0	2.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0
01:40	9.0	0.0	2.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0
01:45	9.0	0.0	2.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0
01:50	9.0	0.0	2.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0
01:55	9.0	0.0	2.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0
02:00	9.0	0.0	2.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0
02:05	9.0	0.0	2.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0
