time	EV_5.0kWh	all vehicles
00:00	2.54	2.54
00:05	2.54	2.54
00:10	2.54	2.54
00:15	2.54	2.54
00:20	2.54	2.54
00:25	2.54	2.54
00:30	2.54	2.54
00:35	2.54	2.54
00:40	2.54	2.54
00:45	2.54	2.54
00:50	2.54	2.54
00:55	2.54	2.54
01:00	2.54	2.54
01:05	2.54	2.54
01:10	2.54	2.54
01:15	2.54	2.54
01:20	2.54	2.54
01:25	2.54	2.54
01:30	2.54	2.54
01:35	2.54	2.54
01:40	2.54	2.54
01:45	2.54	2.54
01:50	2.54	2.54
01:55	2.54	2.54
02:00	2.54	2.54
02:05	2.54	2.54
02:10	2.54	2.54
02:15	2.54	2.54
02:20	2.54	2.54
02:25	2.54	2.54
02:30	2.54	2.54
02:35	2.54	2.54
02:40	2.54	2.54
02:45	2.54	2.54
02:50	2.54	2.54
02:55	2.54	2.54
03:00	2.54	2.54
03:05	2.54	2.54
03:10	2.54	2.54
03:15	2.54	2.54
03:20	2.54	2.54
03:25	2.54	2.54
03:30	2.54	2.54
03:35	2.54	2.54
03:40	2.54	2.54
03:45	2.54	2.54
03:50	2.54	2.54
03:55	2.54	2.54
04:00	2.54	2.54
04:05	2.54	2.54
04:10	2.54	2.54
04:15	2.54	2.54
04:20	2.54	2.54
04:25	2.54	2.54
04:30	2.54	2.54
04:35	2.54	2.54
04:40	2.54	2.54
04:45	2.54	2.54
04:50	2.54	2.54
04:55	2.54	2.54
05:00	2.54	2.54
05:05	2.54	2.54
05:10	2.54	2.54
05:15	2.54	2.54
05:20	2.54	2.54
05:25	2.54	2.54
05:30	2.54	2.54
05:35	2.54	2.54
05:40	2.54	2.54
05:45	2.54	2.54
05:50	2.54	2.54
05:55	2.54	2.54
06:00	2.54	2.54
06:05	2.54	2.54
06:10	2.54	2.54
06:15	2.54	2.54
06:20	2.54	2.54
06:25	2.54	2.54
06:30	2.54	2.54
06:35	2.54	2.54
06:40	2.54	2.54
06:45	2.54	2.54
06:50	2.54	2.54
06:55	2.54	2.54
07:00	2.54	2.54
07:05	2.54	2.54
07:10	2.54	2.54
07:15	2.54	2.54
07:20	2.54	2.54
07:25	2.54	2.54
07:30	2.54	2.54
07:35	2.54	2.54
07:40	2.54	2.54
07:45	2.54	2.54
07:50	2.54	2.54
07:55	2.54	2.54
08:00	2.54	2.54
08:05	2.54	2.54
08:10	2.54	2.54
08:15	2.54	2.54
08:20	2.54	2.54
08:25	2.54	2.54
08:30	2.54	2.54
08:35	2.54	2.54
08:40	2.54	2.54
08:45	2.54	2.54
08:50	2.54	2.54
08:55	2.54	2.54
09:00	2.54	2.54
09:05	1.6173463688559593	1.6173463688559593
09:10	1.1783565375717253	1.1783565375717253
09:15	1.102448491369422	1.102448491369422
09:20	1.102448491369422	1.102448491369422
09:25	1.102448491369422	1.102448491369422
09:30	1.102448491369422	1.102448491369422
09:35	1.102448491369422	1.102448491369422
09:40	1.102448491369422	1.102448491369422
09:45	1.102448491369422	1.102448491369422
09:50	1.102448491369422	1.102448491369422
09:55	1.102448491369422	1.102448491369422
10:00	1.102448491369422	1.102448491369422
10:05	1.102448491369422	1.102448491369422
10:10	1.102448491369422	1.102448491369422
10:15	1.102448491369422	1.102448491369422
10:20	1.102448491369422	1.102448491369422
10:25	1.102448491369422	1.102448491369422
10:30	1.102448491369422	1.102448491369422
10:35	1.102448491369422	1.102448491369422
10:40	1.102448491369422	1.102448491369422
10:45	1.102448491369422	1.102448491369422
10:50	1.102448491369422	1.102448491369422
10:55	1.102448491369422	1.102448491369422
11:00	1.102448491369422	1.102448491369422
11:05	1.102448491369422	1.102448491369422
11:10	1.102448491369422	1.102448491369422
11:15	1.102448491369422	1.102448491369422
11:20	1.102448491369422	1.102448491369422
11:25	1.102448491369422	1.102448491369422
11:30	1.102448491369422	1.102448491369422
11:35	1.102448491369422	1.102448491369422
11:40	1.102448491369422	1.102448491369422
11:45	1.102448491369422	1.102448491369422
11:50	1.102448491369422	1.102448491369422
11:55	1.102448491369422	1.102448491369422
12:00	1.102448491369422	1.102448491369422
12:05	1.102448491369422	1.102448491369422
12:10	1.102448491369422	1.102448491369422
12:15	1.102448491369422	1.102448491369422
12:20	1.102448491369422	1.102448491369422
12:25	1.102448491369422	1.102448491369422
12:30	1.102448491369422	1.102448491369422
12:35	1.102448491369422	1.102448491369422
12:40	1.102448491369422	1.102448491369422
12:45	1.102448491369422	1.102448491369422
12:50	1.102448491369422	1.102448491369422
12:55	1.102448491369422	1.102448491369422
13:00	1.102448491369422	1.102448491369422
13:05	1.102448491369422	1.102448491369422
13:10	1.102448491369422	1.102448491369422
13:15	1.102448491369422	1.102448491369422
13:20	1.102448491369422	1.102448491369422
13:25	1.102448491369422	1.102448491369422
13:30	1.102448491369422	1.102448491369422
13:35	1.102448491369422	1.102448491369422
13:40	1.102448491369422	1.102448491369422
13:45	1.102448491369422	1.102448491369422
13:50	1.102448491369422	1.102448491369422
13:55	1.102448491369422	1.102448491369422
14:00	1.102448491369422	1.102448491369422
14:05	1.102448491369422	1.102448491369422
14:10	1.102448491369422	1.102448491369422
14:15	1.102448491369422	1.102448491369422
14:20	1.102448491369422	1.102448491369422
14:25	1.102448491369422	1.102448491369422
14:30	1.102448491369422	1.102448491369422
14:35	1.102448491369422	1.102448491369422
14:40	1.102448491369422	1.102448491369422
14:45	1.102448491369422	1.102448491369422
14:50	1.102448491369422	1.102448491369422
14:55	1.102448491369422	1.102448491369422
15:00	1.102448491369422	1.102448491369422
15:05	1.102448491369422	1.102448491369422
15:10	1.102448491369422	1.102448491369422
15:15	1.102448491369422	1.102448491369422
15:20	1.102448491369422	1.102448491369422
15:25	1.102448491369422	1.102448491369422
15:30	1.102448491369422	1.102448491369422
15:35	1.102448491369422	1.102448491369422
15:40	1.102448491369422	1.102448491369422
15:45	1.102448491369422	1.102448491369422
15:50	1.102448491369422	1.102448491369422
15:55	1.102448491369422	1.102448491369422
16:00	1.102448491369422	1.102448491369422
16:05	1.102448491369422	1.102448491369422
16:10	1.102448491369422	1.102448491369422
16:15	1.102448491369422	1.102448491369422
16:20	1.102448491369422	1.102448491369422
16:25	1.102448491369422	1.102448491369422
16:30	1.102448491369422	1.102448491369422
16:35	1.102448491369422	1.102448491369422
16:40	1.102448491369422	1.102448491369422
16:45	1.102448491369422	1.102448491369422
16:50	1.102448491369422	1.102448491369422
16:55	1.102448491369422	1.102448491369422
17:00	1.102448491369422	1.102448491369422
17:05	1.102448491369422	1.102448491369422
17:10	1.102448491369422	1.102448491369422
17:15	1.102448491369422	1.102448491369422
17:20	1.102448491369422	1.102448491369422
17:25	1.102448491369422	1.102448491369422
17:30	1.102448491369422	1.102448491369422
17:35	1.102448491369422	1.102448491369422
17:40	1.102448491369422	1.102448491369422
17:45	1.102448491369422	1.102448491369422
17:50	1.102448491369422	1.102448491369422
17:55	1.102448491369422	1.102448491369422
18:00	1.102448491369422	1.102448491369422
18:05	0.4874311877375062	0.4874311877375062
18:10	0.222989212897317	0.222989212897317
