time	0+	0.1+	0.2+	0.3+	0.4+	0.5+	0.6+	0.7+	0.8+	0.9+
05:10	0.0	6.0	2.0	0.0	1.0	2.0	1.0	0.0	1.0	1.0
05:15	0.0	6.0	2.0	0.0	1.0	2.0	1.0	0.0	1.0	1.0
05:20	0.0	6.0	2.0	0.0	1.0	2.0	1.0	0.0	1.0	1.0
05:25	0.0	6.0	2.0	0.0	1.0	2.0	1.0	0.0	1.0	1.0
05:30	0.0	6.0	2.0	0.0	1.0	2.0	1.0	0.0	1.0	1.0
05:35	0.0	6.0	2.0	0.0	1.0	2.0	1.0	0.0	1.0	1.0
05:40	0.0	6.0	2.0	0.0	1.0	2.0	1.0	0.0	1.0	1.0
05:45	0.0	6.0	2.0	0.0	1.0	2.0	1.0	0.0	1.0	1.0
05:50	0.0	6.0	2.0	0.0	1.0	2.0	1.0	0.0	1.0	1.0
05:55	0.0	6.0	2.0	0.0	1.0	2.0	1.0	0.0	1.0	1.0
06:00	0.0	6.0	2.0	0.0	1.0	2.0	1.0	0.0	1.0	1.0
06:05	0.0	6.0	2.0	0.0	1.0	2.0	1.0	0.0	1.0	1.0
06:10	0.0	6.0	2.0	0.0	1.0	2.0	1.0	0.0	1.0	1.0
06:15	0.0	6.0	2.0	0.0	1.0	2.0	1.0	0.0	1.0	1.0
06:20	0.0	6.0	2.0	0.0	1.0	2.0	1.0	0.0	1.0	1.0
06:25	0.0	6.0	2.0	0.0	1.0	2.0	1.0	0.0	1.0	1.0
06:30	0.0	6.0	2.0	0.0	1.0	2.0	1.0	0.0	1.0	1.0
06:35	0.0	6.0	2.0	0.0	1.0	2.0	1.0	0.0	1.0	1.0
06:40	0.0	6.0	2.0	0.0	1.0	2.0	1.0	0.0	1.0	1.0
06:45	0.0	6.0	2.0	0.0	1.0	2.0	1.0	0.0	1.0	1.0
06:50	0.0	6.0	2.0	0.0	1.0	2.0	1.0	0.0	1.0	1.0
06:55	0.0	6.0	2.0	0.0	1.0	2.0	1.0	0.0	1.0	1.0
07:00	0.0	6.0	2.0	0.0	1.0	2.0	1.0	0.0	1.0	1.0
07:05	0.0	6.0	2.0	0.0	1.0	2.0	1.0	0.0	1.0	1.0
07:10	0.0	6.0	2.0	0.0	1.0	2.0	1.0	0.0	1.0	1.0
07:15	0.0	6.0	2.0	0.0	1.0	2.0	1.0	0.0	1.0	1.0
07:20	0.0	6.0	2.0	0.0	1.0	2.0	1.0	0.0	1.0	1.0
07:25	0.0	6.0	2.0	0.0	1.0	2.0	1.0	0.0	1.0	1.0
07:30	0.0	6.0	2.0	0.0	1.0	2.0	1.0	0.0	1.0	1.0
07:35	0.0	6.0	2.0	0.0	1.0	2.0	1.0	0.0	1.0	1.0
07:40	0.0	6.0	2.0	0.0	1.0	2.0	1.0	0.0	1.0	1.0
07:45	0.0	6.0	2.0	0.0	1.0	2.0	1.0	0.0	1.0	1.0
07:50	0.0	6.0	2.0	0.0	1.0	2.0	1.0	0.0	1.0	1.0
07:55	0.0	6.0	2.0	0.0	1.0	2.0	1.0	0.0	1.0	1.0
08:00	0.0	6.0	2.0	0.0	1.0	2.0	1.0	0.0	1.0	1.0
08:05	0.0	6.0	2.0	0.0	1.0	2.0	1.0	0.0	1.0	1.0
08:10	0.0	6.0	2.0	0.0	1.0	2.0	1.0	0.0	1.0	1.0
08:15	0.0	6.0	2.0	0.0	1.0	2.0	1.0	0.0	1.0	1.0
08:20	0.0	6.0	2.0	0.0	1.0	2.0	1.0	0.0	1.0	1.0
08:25	0.0	6.0	2.0	0.0	1.0	2.0	1.0	0.0	1.0	1.0
08:30	0.0	6.0	2.0	0.0	1.0	2.0	1.0	0.0	1.0	1.0
08:35	0.0	6.0	2.0	0.0	1.0	2.0	1.0	0.0	1.0	1.0
08:40	0.0	6.0	2.0	0.0	1.0	2.0	1.0	0.0	1.0	1.0
08:45	0.0	6.0	2.0	0.0	1.0	2.0	1.0	0.0	1.0	1.0
08:50	0.0	6.0	2.0	0.0	1.0	2.0	1.0	0.0	1.0	1.0
08:55	0.0	6.0	2.0	0.0	1.0	2.0	1.0	0.0	1.0	1.0
09:00	0.0	6.0	2.0	0.0	1.0	2.0	1.0	0.0	1.0	1.0
09:05	6.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
09:10	6.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
09:15	6.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
09:20	6.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
09:25	6.0	1.0	1.0	1.0	2.0	0.0	1.0	1.0	1.0	0.0
09:30	6.0	2.0	0.0	2.0	1.0	1.0	0.0	2.0	0.0	0.0
09:35	6.0	2.0	0.0	2.0	1.0	1.0	0.0	2.0	0.0	0.0
09:40	6.0	2.0	1.0	2.0	0.0	1.0	1.0	1.0	0.0	0.0
09:45	6.0	2.0	2.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0
09:50	6.0	2.0	2.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0
09:55	6.0	2.0	3.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0
10:00	6.0	2.0	3.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0
10:05	7.0	2.0	2.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0
10:10	7.0	3.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0
10:15	7.0	4.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0
10:20	8.0	3.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0
10:25	8.0	3.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0
10:30	8.0	3.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0
10:35	8.0	3.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0
10:40	8.0	3.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0
10:45	8.0	3.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0
10:50	8.0	3.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0
10:55	8.0	3.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0
11:00	8.0	3.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0
11:05	8.0	3.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0
11:10	8.0	3.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0
11:15	8.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
11:20	8.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
11:25	8.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
11:30	8.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
11:35	8.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
11:40	8.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
11:45	8.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
11:50	8.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
11:55	8.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
12:00	8.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
12:05	8.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
12:10	8.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
12:15	8.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
12:20	8.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
12:25	8.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
12:30	8.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
12:35	8.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
12:40	8.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
12:45	8.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
12:50	8.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
12:55	8.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
13:00	8.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
13:05	8.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
13:10	8.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
13:15	8.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
13:20	8.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
13:25	8.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
13:30	8.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
13:35	8.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
13:40	8.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
13:45	8.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
13:50	8.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
13:55	8.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
14:00	8.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
14:05	8.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
14:10	8.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
14:15	8.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
14:20	8.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
14:25	8.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
14:30	8.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
14:35	8.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
14:40	8.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
14:45	8.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
14:50	8.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
14:55	8.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
15:00	8.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
15:05	8.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
15:10	8.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
15:15	8.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
15:20	8.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
15:25	8.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
15:30	8.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
15:35	8.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
15:40	8.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
15:45	8.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
15:50	8.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
15:55	8.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
16:00	8.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
16:05	8.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
16:10	8.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
16:15	8.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
16:20	8.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
16:25	8.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
16:30	8.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
16:35	8.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
