Iteration;car_travel;car_wait;stageActivity_travel;stageActivity_wait
0;312086;0;0;0
1;292916;0;0;0
2;274176;0;0;0
3;261960;0;0;0
4;256536;0;0;0
5;255170;0;0;0
6;252586;0;0;0
7;252703;0;0;0
8;254737;0;0;0
9;257900;0;0;0
10;257851;0;0;0
