ITERATION;avg. Average Leg distance;avg. Average Trip distance
0;85307.32706329845;85307.32706329845
1;85315.74444351548;85315.74444351548
2;85350.88125437131;85350.88125437131
3;85320.10155508317;85320.10155508317
4;85334.26160283851;85334.26160283851
5;85332.86606085839;85332.86606085839
6;85323.34128268725;85323.34128268725
7;85329.96532551544;85329.96532551544
8;85304.40112601548;85304.40112601548
9;85353.31774015505;85353.31774015505
10;85362.10623237157;85362.10623237157
