Iteration;car_travel;car_wait;stageActivity_travel;stageActivity_wait
0;457;0;0;0
1;457;0;0;0
2;457;0;0;0
3;457;0;0;0
4;457;0;0;0
5;457;0;0;0
6;457;0;0;0
7;457;0;0;0
8;457;0;0;0
9;457;0;0;0
10;457;0;0;0
