ITERATION;avg. Average Leg distance;avg. Average Trip distance
0;82172.62423943735;82172.62423943735
1;84510.72353751052;84510.72353751052
2;85748.94424796205;85748.94424796205
3;86403.61724568527;86403.61724568527
4;86731.10540376867;86731.10540376867
5;86954.45461359706;86954.45461359706
6;87060.29925496297;87060.29925496297
7;87060.42945766;87060.42945766
8;86976.66472590384;86976.66472590384
9;86961.4040179519;86961.4040179519
10;86906.60289973144;86906.60289973144
