time	1	2	3	4	5	6	7	8	9	10
00:00	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
00:05	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
00:10	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
00:15	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
00:20	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
00:25	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
00:30	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
00:35	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
00:40	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
00:45	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
00:50	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
00:55	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
01:00	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
01:05	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
01:10	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
01:15	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
01:20	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
01:25	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
01:30	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
01:35	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
01:40	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
01:45	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
01:50	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
01:55	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
02:00	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
02:05	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
02:10	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
02:15	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
02:20	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
02:25	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
02:30	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
02:35	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
02:40	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
02:45	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
02:50	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
02:55	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
03:00	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
03:05	2.95	3.4499999999999993	1.6	2.25	1.6	2.4	3.1	3.7	3.3	1.05
