Iteration;car_travel;car_wait;stageActivity_travel;stageActivity_wait
0;28508;0;0;0
1;28507;0;0;0
2;28506;0;0;0
3;28505;0;0;0
4;28505;0;0;0
5;28505;0;0;0
6;28505;0;0;0
7;28505;0;0;0
8;28504;0;0;0
9;28505;0;0;0
10;28504;0;0;0
