ITERATION;avg. Average Leg distance;avg. Average Trip distance
0;133124.40979954784;133124.40979954784
1;133233.5103488187;133233.5103488187
2;133334.18954319129;133334.18954319129
3;133374.20337309365;133374.20337309365
4;133392.29848345724;133392.29848345724
5;133403.0650553024;133403.0650553024
6;133421.31542401912;133421.31542401912
7;133420.42685362275;133420.42685362275
8;133423.35548345605;133423.35548345605
9;133418.1246415559;133418.1246415559
10;133431.25834077498;133431.25834077498
