ITERATION;avg. Average Leg distance;avg. Average Trip distance
0;126525.47841052059;134960.5103045553
1;126060.65884525195;134464.70276826873
2;126527.23985898509;134962.38918291742
3;135064.12209044336;135064.12209044336
4;134685.77522229878;134685.77522229878
