time	EV_65.0kWh	all vehicles
00:00	45.5	45.5
00:05	45.5	45.5
00:10	45.5	45.5
00:15	45.5	45.5
00:20	45.5	45.5
00:25	45.5	45.5
00:30	45.5	45.5
00:35	45.5	45.5
00:40	45.5	45.5
00:45	45.5	45.5
00:50	45.5	45.5
00:55	45.5	45.5
01:00	45.5	45.5
01:05	45.5	45.5
01:10	45.5	45.5
01:15	45.5	45.5
01:20	45.5	45.5
01:25	45.5	45.5
01:30	45.5	45.5
01:35	45.5	45.5
01:40	45.5	45.5
01:45	45.5	45.5
01:50	45.5	45.5
01:55	45.5	45.5
02:00	45.5	45.5
02:05	45.5	45.5
02:10	45.5	45.5
02:15	45.5	45.5
02:20	45.5	45.5
02:25	45.5	45.5
02:30	45.5	45.5
02:35	45.5	45.5
02:40	45.5	45.5
02:45	45.5	45.5
02:50	45.5	45.5
02:55	45.5	45.5
03:00	45.5	45.5
03:05	45.5	45.5
03:10	45.5	45.5
03:15	45.5	45.5
03:20	45.5	45.5
03:25	45.5	45.5
03:30	45.5	45.5
03:35	45.5	45.5
03:40	45.5	45.5
03:45	45.5	45.5
03:50	45.5	45.5
03:55	45.5	45.5
04:00	45.5	45.5
04:05	45.5	45.5
04:10	45.5	45.5
04:15	45.5	45.5
04:20	45.5	45.5
04:25	45.5	45.5
04:30	45.5	45.5
04:35	45.5	45.5
04:40	45.5	45.5
04:45	45.5	45.5
04:50	45.5	45.5
04:55	45.5	45.5
05:00	45.5	45.5
05:05	45.5	45.5
05:10	45.5	45.5
05:15	45.5	45.5
05:20	45.5	45.5
05:25	45.5	45.5
05:30	45.5	45.5
05:35	45.5	45.5
05:40	45.5	45.5
05:45	45.5	45.5
05:50	45.5	45.5
05:55	45.5	45.5
06:00	45.5	45.5
06:05	45.5	45.5
06:10	45.5	45.5
06:15	45.5	45.5
06:20	45.5	45.5
06:25	45.5	45.5
06:30	45.5	45.5
06:35	45.5	45.5
06:40	45.5	45.5
06:45	45.5	45.5
06:50	45.5	45.5
06:55	45.5	45.5
07:00	45.5	45.5
07:05	45.5	45.5
07:10	45.5	45.5
07:15	45.5	45.5
07:20	45.5	45.5
07:25	45.5	45.5
07:30	45.5	45.5
07:35	45.5	45.5
07:40	45.5	45.5
07:45	45.5	45.5
07:50	45.5	45.5
07:55	45.5	45.5
08:00	45.5	45.5
08:05	44.4172797235901	44.4172797235901
08:10	43.135879547985624	43.135879547985624
08:15	41.71817320712488	41.71817320712488
08:20	40.528950071442544	40.528950071442544
08:25	39.13996654176722	39.13996654176722
08:30	37.86771977790304	37.86771977790304
08:35	36.67193345771998	36.67193345771998
08:40	35.609474660979615	35.609474660979615
08:45	34.715493164190775	34.715493164190775
08:50	33.81648929926568	33.81648929926568
08:55	32.929707461072674	32.929707461072674
09:00	32.17881600325824	32.17881600325824
09:05	31.602503904173485	31.602503904173485
09:10	31.14651511203282	31.14651511203282
09:15	30.70036764500162	30.70036764500162
09:20	30.27162271557804	30.27162271557804
09:25	29.88810851349429	29.88810851349429
09:30	29.51811821059915	29.51811821059915
09:35	29.3238979919209	29.3238979919209
09:40	29.19957023203457	29.19957023203457
09:45	29.07977746372759	29.07977746372759
09:50	28.994467298054207	28.994467298054207
09:55	28.9520410373732	28.9520410373732
10:00	28.87545936664413	28.87545936664413
10:05	28.863301606886335	28.863301606886335
10:10	28.863301606886335	28.863301606886335
10:15	28.863301606886335	28.863301606886335
10:20	28.863301606886335	28.863301606886335
10:25	28.863301606886335	28.863301606886335
10:30	28.863301606886335	28.863301606886335
10:35	28.863301606886335	28.863301606886335
10:40	28.863301606886335	28.863301606886335
10:45	28.863301606886335	28.863301606886335
10:50	28.863301606886335	28.863301606886335
10:55	28.863301606886335	28.863301606886335
11:00	28.863301606886335	28.863301606886335
11:05	28.863301606886335	28.863301606886335
11:10	28.863301606886335	28.863301606886335
11:15	28.863301606886335	28.863301606886335
11:20	28.863301606886335	28.863301606886335
11:25	28.863301606886335	28.863301606886335
11:30	28.863301606886335	28.863301606886335
11:35	28.863301606886335	28.863301606886335
11:40	28.863301606886335	28.863301606886335
11:45	28.863301606886335	28.863301606886335
11:50	28.863301606886335	28.863301606886335
11:55	28.863301606886335	28.863301606886335
12:00	28.863301606886335	28.863301606886335
12:05	28.863301606886335	28.863301606886335
12:10	28.863301606886335	28.863301606886335
12:15	28.863301606886335	28.863301606886335
12:20	28.863301606886335	28.863301606886335
12:25	28.863301606886335	28.863301606886335
12:30	28.863301606886335	28.863301606886335
12:35	28.863301606886335	28.863301606886335
12:40	28.863301606886335	28.863301606886335
12:45	28.863301606886335	28.863301606886335
12:50	28.863301606886335	28.863301606886335
12:55	28.863301606886335	28.863301606886335
13:00	28.863301606886335	28.863301606886335
13:05	28.863301606886335	28.863301606886335
13:10	28.863301606886335	28.863301606886335
13:15	28.863301606886335	28.863301606886335
13:20	28.863301606886335	28.863301606886335
13:25	28.863301606886335	28.863301606886335
13:30	28.863301606886335	28.863301606886335
13:35	28.863301606886335	28.863301606886335
13:40	28.863301606886335	28.863301606886335
13:45	28.863301606886335	28.863301606886335
13:50	28.863301606886335	28.863301606886335
13:55	28.863301606886335	28.863301606886335
14:00	28.863301606886335	28.863301606886335
14:05	28.863301606886335	28.863301606886335
14:10	28.863301606886335	28.863301606886335
14:15	28.863301606886335	28.863301606886335
14:20	28.863301606886335	28.863301606886335
14:25	28.863301606886335	28.863301606886335
14:30	28.863301606886335	28.863301606886335
14:35	28.863301606886335	28.863301606886335
14:40	28.863301606886335	28.863301606886335
