ITERATION;avg. Average Leg distance;avg. Average Trip distance
0;72540.59403774288;72540.59403774288
1;72534.41279682833;72534.41279682833
2;72540.59403774288;72540.59403774288
3;72534.14641045604;72534.14641045604
4;72540.59403774288;72540.59403774288
5;72540.59403774288;72540.59403774288
6;72540.59403774288;72540.59403774288
7;72528.23155591376;72528.23155591376
8;72533.04514727156;72533.04514727156
9;72533.04514727156;72533.04514727156
10;72526.86390635702;72526.86390635702
