Iteration;car_travel;car_wait;stageActivity_travel;stageActivity_wait
0;1809;0;0;0
1;1809;0;0;0
2;1809;0;0;0
3;1809;0;0;0
4;1808;0;0;0
5;1808;0;0;0
6;1808;0;0;0
7;1808;0;0;0
8;1808;0;0;0
9;1808;0;0;0
10;1808;0;0;0
