iteration;BEGIN iteration;BEGIN iterationStartsListeners;END iterationStartsListeners;BEGIN replanning;END replanning;BEGIN beforeMobsimListeners;BEGIN dump all plans;END dump all plans;END beforeMobsimListeners;BEGIN prepareForMobsim;END prepareForMobsim;BEGIN mobsim;END mobsim;BEGIN afterMobsimListeners;END afterMobsimListeners;BEGIN scoring;END scoring;BEGIN iterationEndsListeners;END iterationEndsListeners;END iteration;;iterationStartsListeners;replanning;dump all plans;beforeMobsimListeners;prepareForMobsim;mobsim;afterMobsimListeners;scoring;iterationEndsListeners;iteration
0;16:15:42;16:15:42;16:15:43;;;16:15:43;16:15:43;16:15:43;16:15:43;16:15:43;16:15:43;16:15:43;16:15:45;16:15:45;16:15:45;16:15:45;16:15:45;16:15:45;16:15:46;16:15:46;;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:02;00:00:00;00:00:00;00:00:00;00:00:03
1;16:15:46;16:15:46;16:15:46;16:15:46;16:15:46;16:15:46;16:15:46;16:15:46;16:15:46;16:15:46;16:15:46;16:15:46;16:15:48;16:15:48;16:15:48;16:15:48;16:15:48;16:15:48;16:15:48;16:15:48;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;00:00:00;00:00:02
2;16:15:48;16:15:48;16:15:48;16:15:48;16:15:48;16:15:48;;;16:15:48;16:15:48;16:15:48;16:15:48;16:15:50;16:15:50;16:15:50;16:15:50;16:15:50;16:15:50;16:15:50;16:15:50;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;00:00:00;00:00:01
3;16:15:50;16:15:50;16:15:50;16:15:50;16:15:50;16:15:50;;;16:15:50;16:15:50;16:15:50;16:15:50;16:15:52;16:15:52;16:15:52;16:15:52;16:15:52;16:15:52;16:15:52;16:15:52;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;00:00:00;00:00:01
4;16:15:52;16:15:52;16:15:52;16:15:52;16:15:52;16:15:52;;;16:15:52;16:15:52;16:15:52;16:15:52;16:15:53;16:15:53;16:15:53;16:15:53;16:15:53;16:15:53;16:15:54;16:15:54;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;00:00:00;00:00:01
5;16:15:54;16:15:54;16:15:54;16:15:54;16:15:54;16:15:54;;;16:15:54;16:15:54;16:15:54;16:15:54;16:15:55;16:15:55;16:15:55;16:15:55;16:15:55;16:15:55;16:15:56;16:15:56;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:01;00:00:00;00:00:00;00:00:00;00:00:02
