ITERATION;avg. Average Leg distance;avg. Average Trip distance
0;134871.1712432012;143862.58265941462
1;134406.35167793257;143366.77512312809
2;134872.93269166572;143864.46153777678
3;135062.86010695642;135062.86010695642
4;134685.77522229878;134685.77522229878
5;134406.9624915754;143367.42665768042
